event_id_cnty,notes,gold_label,gold_label_full,actor_type,actor_norm,actor_norm
CAO5093,"On 13 March 2021, the military forces engaged in fire fights with Ambazonian separatists in Ntarinkon village, Bamenda town, Bamenda 2 subdivision (Mezam, Nord-Ouest). No fatality and/or casualty reported.",B,Battles,state,Military Forces of Cameroon (1982-),State forces (Cameroon)
CAO13117,"On 20 March 2024, state security forces, coded as the military forces ambushed, shot and killed 2 Ambazonian Separatists from the Restoration Forces faction in Lipenja Camp (Ekondo Titi, Ndian, Sud-Ouest). The military forces recovered two weapons from the Separatists.",B,Battles,state,Military Forces of Cameroon (1982-),State forces (Cameroon)
CAO11560,"Other: On 15 June 2023, government forces, coded as military, conducted a cordon and search and fired warning gunshots in the air at Nforya, coded as Bafut (Mezam, Nord-Ouest).",S,Strategic developments,state,Military Forces of Cameroon (1982-),State forces (Cameroon)
CAO3435,"On 4 July 2020, the military forces raided Ngusi village in Bangem (Kupe-Manenguba, Sud-Ouest), killing one civilian and burning houses.",V,Violence against civilians,state,Military Forces of Cameroon (1982-),State forces (Cameroon)
CAO6663,"Looting: On 24 October 2022, Boko Haram (JAS) looted a motorbike along the Limani-Mora Road, coded to Limani (Mora, Mayo-Sava, Extreme-Nord)",S,Strategic developments,non-state,Boko Haram - Jamaatu Ahli is-Sunnah lid-Dawati wal-Jihad,Boko Haram / ISWAP
CAO4776,"Looting: Around 15 July 2020 (month of), the military forces raided Bengang village, Batibo subdivision (Momo, Nord-Ouest). They shot in the air, and then looted property.",S,Strategic developments,state,Military Forces of Cameroon (1982-),State forces (Cameroon)
CAO12836,"On 23 April 2022, gunshots were heard in Ntamulung, Bamenda 3 subdivision (coded to Bamenda - Njah). They are thought to be related to a confrontation between an unknown armed group and the military.",B,Battles,state,Military Forces of Cameroon (1982-),State forces (Cameroon)
CAO5021,"On 8 February 2021, the military forces captured and killed two Ambazonian separatists fighters in Egwekaw village, Mamfe subdivision (Manyu, Sud-Ouest).",B,Battles,state,Military Forces of Cameroon (1982-),State forces (Cameroon)
CAO6892,"Around 2 January 2023, the Cameroonian military forces clashed with Ambazonian Separatists fighters between the Manyu and the Ebinsi Rivers, coded to Manyu Division (Mamfe, Manyu, Sud-Ouest). There were no fatalities/casualties.",B,Battles,state,Military Forces of Cameroon (1982-),State forces (Cameroon)
CAO3078,"On 8 March 2020, inhabitants of Enyoh village in Batibo subdivision (Momo, Nord-Ouest) invaded a suspected Ambazonian separatists camp and chased away the fighters before setting fire to camp and freeing captives. This was a reaction to repetitive kidnappings of the villagers.",B,Battles,non-state,Enyoh Communal Militia (Cameroon),Communal Militia
CAO5675,"On 10 November 2021, Boko Haram fighters attacked Gourou village, Moskota town, Mayo-Moskota subdivision (Mayo-Tsanaga, Extreme-Nord), killing 5 people.",V,Violence against civilians,non-state,Islamic State West Africa Province (ISWAP) - Lake Chad Faction and/or Boko Haram - Jamaatu Ahli is-Sunnah lid-Dawati wal-Jihad,Boko Haram / ISWAP
CAO12580,"Other: On 27 July 2022, state security forces (coded as military) fired gunshots in the air in Mabanda in Kumba (Meme, Sud-Ouest) when they suspected Ambazonian Separatists to be nearby.",S,Strategic developments,state,Military Forces of Cameroon (1982-),State forces (Cameroon)
CAO9383,"On 7 March 2023, Ambazonian Separatists from the Restoration Forces shot and killed a commercial bike rider in Eyumodjock commune, coded as Eyumojock (Manyu, Sud-Ouest) when he attempted to flee after refusing to let them seize his bike.",V,Violence against civilians,non-state,Ambazonian Separatists (Cameroon),Ambazonia
CAO5016,"On 7 February 2021, the military forces engaged in fire fights with Ambazonian separatists in Bamunka village, Ndop subdivision (Ngo-Ketunjia, Nord-Ouest). No fatality and/or casualty reported.",B,Battles,state,Military Forces of Cameroon (1982-),State forces (Cameroon)
CAO7975,"On 18 October 2023, Boko Haram (JAS) (likely) militants attacked and killed 1 civilian displaced from Maigoubari and injured three others in Geldavi (Koza, Mayo-Tsanaga, Extreme-Nord). The extent of their injuries is not known. The militants stole livestock, food and various other items.",V,Violence against civilians,non-state,Boko Haram - Jamaatu Ahli is-Sunnah lid-Dawati wal-Jihad,Boko Haram / ISWAP
CAO3621,"On 28 August 2020, women of the SUFC movement demonstrated in the Nord-ouest region, around Bamenda town (Mezam, Nord-Ouest), calling for a ceasefire in the North West and South West regions.",P,Protests,non-state,Protesters (Cameroon),Protesters/Rioters/Civilians
CAO2885,"On 23 January 2020, military forces attacked the villages of Mautu and Weh, in Muyuka subdivision (Fako, Sud-Ouest) [coded: Muyuka]. They allegedly killed 7 people in Mautu and 2 in Weh, and burnt several houses. Total of 9 fatalities.",V,Violence against civilians,state,Military Forces of Cameroon (1982-),State forces (Cameroon)
CAO7255,"On 4 May 2023, the military forces (Rapid Intervention) ambushed Boko Haram (JAS) (likely) militants in the deserted village of Zize, coded to Kolofata (Kolofata, Mayo-Sava, Extreme-Nord). 1 militant was killed.",B,Battles,state,Military Forces of Cameroon (1982-) Rapid Intervention Battalion,State forces (Cameroon)
CAO10317,"On 27 April 2023, state security forces, coded as military, clashed with Ambazonian Separatists at an informal checkpoint, in Wainamah (Bui, Nord-Ouest). Three Ambazonian Separatists were injured and one of them subsequently died from the wound.",B,Battles,state,Military Forces of Cameroon (1982-),State forces (Cameroon)
CAO8323,"Looting: Around 22 December 2023 (as reported), Boko Haram (JAS) (likely) militants looted 1 motorbike and various belongings in Gui-Kolofata, coded to Kolofata (Kolofata, Mayo-Sava, Extreme-Nord).",S,Strategic developments,non-state,Boko Haram - Jamaatu Ahli is-Sunnah lid-Dawati wal-Jihad,Boko Haram / ISWAP
CAO11535,"On 29 May 2023, Ambazonian Separatists fired several gunshots to the air in Mile 4 Nkwen in Bamenda (Mezam, Nord-Ouest). State forces, coded as military, responded resulting in the retreat of the Ambazonian Separatists. Casualties unknown.",B,Battles,non-state,Ambazonian Separatists (Cameroon),Ambazonia
CAO5304,"Looting: On 8 July 2021, Boko Haram fighters wearing military fatigues looted a house in Darak town (Logone-et-Chari, Extreme-Nord), taking away 'equipment'.",S,Strategic developments,non-state,Islamic State West Africa Province (ISWAP) - Lake Chad Faction and/or Boko Haram - Jamaatu Ahli is-Sunnah lid-Dawati wal-Jihad,Boko Haram / ISWAP
CAO5949,"On 1 April 2022, an IED planted by suspected Boko Haram fighters detonated at the entrance of Sagme (Fotokol, Logone-et-Chari, Extreme-Nord), causing the injury of a woman and her child.",E,Explosions/Remote violence,non-state,Islamic State West Africa Province (ISWAP) and/or Boko Haram - Jamaatu Ahli is-Sunnah lid-Dawati wal-Jihad,Boko Haram / ISWAP
CAO3969,"On 4 November 2020, suspected Ambazonian separatist kidnapped 7 students on their way to school in Fundong town (Boyo, Nord-Ouest). All the hostages were retrieved shortly after, unharmed.",V,Violence against civilians,non-state,Ambazonian Separatists (Cameroon),Ambazonia
CAO9799,"On 18 October 2022, military forces ambushed and clashed with 3 Ambazonian Separatists who were at an informal vehicular checkpoint in Jikijem (Bui, Nord-Ouest). The forces captured one Separatist, but on their way to the Elak brigade, the captured fighter managed to escape. No casualties.",B,Battles,state,Military Forces of Cameroon (1982-),State forces (Cameroon)
CAO4450,"Around 4 March 2021 (week of), the military forces launched an operation in Bui division, assumedly around Kumbo town, Jakiri subdivision (Bui, Nord-Ouest), killing at least 23 people, including 15 separatist fighters. Three soldiers were also killed.",B,Battles,state,Military Forces of Cameroon (1982-),State forces (Cameroon)
CAO3791,"On 22 October 2020, the military forces burnt properties during a raid in Tadu town (Bui, Nord-Ouest).",S,Strategic developments,state,Military Forces of Cameroon (1982-),State forces (Cameroon)
CAO15186,"On 15 September 2024, the military forces clashed with suspected Ambazonian Separatists in Lobe Estate (Ekondo Titi, Ndian, Sud-Ouest). 2 Separatists were killed.",B,Battles,state,Military Forces of Cameroon (1982-),State forces (Cameroon)
CAO7206,"On 5 April 2023, the Cameroonian military forces clashed with suspected Ambazonian separatists around Bafut (Bafut, Mezam, Nord-Ouest). At least 3 were killed and their bodies were displayed at Nforya Junction in Bafut.",B,Battles,state,Military Forces of Cameroon (1982-),State forces (Cameroon)
CAO14603,"On 30 June 2024, Ambazonian Separatists beat and injured a commercial motorbike driver and abducted 4 suspected government officials in Bambui (Tubah, Mezam, Nord-Ouest). The Separatists looted the motorbike from the commercial motorbike driver and used it to transport the abducted. The motorbike was later found abandoned and recovered by the military forces.",V,Violence against civilians,non-state,Ambazonian Separatists (Cameroon),Ambazonia
CAO7007,"On 29 January 2023, suspected members of the Cameroonian military forces attacked traveling civilians on the Bamenda-Kumbo road, coded to Bamenda (Bamenda 1, Mezam, Nord-Ouest). 2 drivers were killed by the military. The victims were traveling to Jakiri when they were stopped by the soldiers.",V,Violence against civilians,state,Military Forces of Cameroon (1982-),State forces (Cameroon)
CAO4315,"On 27 January 2021, the military forces opened fire on civilians during a raid in Pinyin village (Mezam, Nord-Ouest). No fatality and/or casualty reported.",V,Violence against civilians,state,Military Forces of Cameroon (1982-),State forces (Cameroon)
CAO8133,"Around 19 November 2023, suspected Ambazonian Separatist fighters killed a popular business man round Bamali (Ndop, Ngo-Ketunjia, Nord-Ouest). His body was found retrieved from the river with his hand tied behind his back and a swollen head.",V,Violence against civilians,non-state,Ambazonian Separatists (Cameroon),Ambazonia
CAO3713,"Around 24 September 2020 (week of), Boko Haram attacked Makoulahe village, one kilometer away from Kourgui village, in Mora subdivision (Mayo-Sava, Extreme-Nord), killing one person.",V,Violence against civilians,non-state,Islamic State West Africa Province (ISWAP) - Lake Chad Faction and/or Boko Haram - Jamaatu Ahli is-Sunnah lid-Dawati wal-Jihad,Boko Haram / ISWAP
CAO14434,"On 11 May 2024, likely Fulani militia abducted a Muslim male civilian in Ngoh village in Ngun, coded to Ngun (Fungom, Menchum, Nord-Ouest). The militants extorted 250,000 Franc CFA from the victim and demanded an additional 500,000 Franc CFA for his release.",V,Violence against civilians,non-state,Fulani Ethnic Militia (Cameroon),Other Actors
CAO3578,"On 14 August 2020, an explosive planted by unidentified men detonated in Mokolo market of Yaounde city (Mfoundi, Centre). Casualties unknown.",E,Explosions/Remote violence,non-state,Unidentified Armed Group (Cameroon),Other Actors
CAO12497,"On 19 July 2023, Ambazonian Separatists abducted a civilian from his home in Nsih-O-Doh, Ndu commune, coded to Ndu (Donga-Mantung, Nord-Ouest), for reporting a man who impregnated his younger sister to the state security forces instead of them. No additional information.",V,Violence against civilians,non-state,Ambazonian Separatists (Cameroon),Ambazonia
CAO14206,"On 30 April 2024, the military forces clashed with Ambazonian Separatists in Ikata (Muyuka, Fako, Sud-Ouest). 2 soldiers were killed, and 2 militants were wounded.",B,Battles,state,Military Forces of Cameroon (1982-),State forces (Cameroon)
CAO15846,"Looting: On 15 October 2024, Ambazonian Separatists extorted an unidentified amount of money from commercial vehicles, commercial motorbike riders, and passengers at an illegal checkpoint along the Squares - Shishong road in Kumbo (Kumbo, Bui, Nord-Ouest).",S,Strategic developments,non-state,Ambazonian Separatists (Cameroon),Ambazonia
CAO12465,"Property destruction: On 24 July 2023, state security forces (coded as military) set ablaze the traditional house of a village in Belo commune, coded to Oku (Boyo, Nord-Ouest), which had been a secret shrine of 'Beng Aweh.' They also arrested some men, all, with the exception of two, were shortly released.",S,Strategic developments,state,Military Forces of Cameroon (1982-),State forces (Cameroon)
CAO8775,"On 17 March 2024, an IED planted by an unidentified armed group detonated on military forces along the Zeleved - Dzamadzaf road, coded to Zelevet (Mayo-Moskota, Mayo-Tsanaga, Extreme-Nord). There were no fatalities and 2 militants were injured.",E,Explosions/Remote violence,non-state,Unidentified Armed Group (Cameroon),Other Actors
CAO13652,"On 13 April 2024, state security forces, coded as the military forces from the Rapid Intervention, beat and injured a dump truck driver and 2 other civilians on the main road in Mile 15 Buea (Buea, Fako, Sud-Ouest) after the dump truck blocked the road and delayed their convoy traveling to Buea center. There were no fatalities.",V,Violence against civilians,state,Military Forces of Cameroon (1982-) Rapid Intervention Battalion,State forces (Cameroon)
CAO6846,"On 17 December 2022, the Cameroonian military forces raided Yer village, coded to Kumbo (Kumbo, Bui, Nord-Ouest) leading to the death of 3 civilians. The soldiers set fire to at least 10 houses.",V,Violence against civilians,state,Military Forces of Cameroon (1982-),State forces (Cameroon)
CAO8642,"Looting: Around 20 February 2024 (as reported), suspected ISWAP or Boko Haram militants looted piles of sorghum collected by farmers on fields near Waza (Waza, Logone-et-Chari, Extreme-Nord).",S,Strategic developments,non-state,Islamic State West Africa Province (ISWAP) and/or Boko Haram - Jamaatu Ahli is-Sunnah lid-Dawati wal-Jihad,Boko Haram / ISWAP
CAO13016,"On 23 February 2024, an IED planted by Ambazonian Separatists detonated on the military forces in Bamenda - Mankon (Bamenda 2, Mezam, Nord-Ouest). At least 6 soldiers were killed and their military vehicle was damaged.",E,Explosions/Remote violence,non-state,Ambazonian Separatists (Cameroon),Ambazonia
CAO15276,"On 13 August 2024, Ambazonian Separatists from the Restoration Forces faction abducted a civilian from his private residence in Ndissi (Tombel, Kupe-Manenguba, Sud-Ouest). The Separatists accused him of collaborating with security forces.",V,Violence against civilians,non-state,Ambazonian Separatists (Cameroon),Ambazonia
CAO12645,"On 15 January 2022, Ambazonian separatists and the military engaged in an armed clash at Total gas station in Bamunka near Bamenda (Bamenda 1, Mezam, Nord-Ouest). Three civilians were killed in the crossfire.",B,Battles,state,Military Forces of Cameroon (1982-),State forces (Cameroon)
CAO15554,"On 20 September 2024, Ambazonian Separatists from the ADF faction abducted 3 commercial motorbike riders along the road in Fossimondi (Wabane, Lebialem, Sud-Ouest), accusing the riders of defying the Separatist-imposed lockdown against school resumption and collaborating with the security forces.",V,Violence against civilians,non-state,Ambazonian Separatists (Cameroon),Ambazonia
CAO9215,"On 26 February 2023, the State security forces, coded as the military forces clashed with Ambazonian Separatists in Lower Pinyin, coded to Pinyin (Santa, Mezam, Nord-Ouest). 1 Separatists and 1 civilian were killed. 4 civilians were arrested.",B,Battles,state,Military Forces of Cameroon (1982-),State forces (Cameroon)
CAO13505,"Looting: On 10 April 2024, Ambazonian Separatists from the Restoration Forces faction extorted money from commercial motorbike riders and their passengers in Bulu Camp (Mundemba, Ndian, Sud-Ouest) on their way to the market and farms.",S,Strategic developments,non-state,Ambazonian Separatists (Cameroon),Ambazonia
CAO14983,"On 28 July 2024, Ambazonian Separatists shot and injured a government official in her leg at a local church in Elak (Oku, Bui, Nord-Ouest) before the military forces intervened (coded as a separate event).",V,Violence against civilians,non-state,Ambazonian Separatists (Cameroon),Ambazonia
CAO11012,"On 4 February 2024, the military engaged in a firefight with Boko Haram (JAS) (likely) militants in Geldavi (Koza, Mayo-Tsanaga, Extreme-Nord) as militants robbed civilians of foodstuffs, livestock, valuables and four motorcycles. Casualties unknown.",B,Battles,state,Military Forces of Cameroon (1982-),State forces (Cameroon)
CAO4525,"On 4 April 2021, Boko Haram fighters attacked and tortured a group of local vigilance militiamen in Mahoula village, Mora subdivision (Mayo-Sava, Extreme-Nord), killing two of them.",B,Battles,non-state,Islamic State West Africa Province (ISWAP) - Lake Chad Faction and/or Boko Haram - Jamaatu Ahli is-Sunnah lid-Dawati wal-Jihad,Boko Haram / ISWAP
CAO13826,"Looting: On 21 June 2024, Boko Haram (JAS) (likely) militants looted bikes, motorbikes, plates, and food items from farmers in Maloumri (Kolofata, Mayo-Sava, Extreme-Nord). The militants withdrew when the military forces from the Rapid Intervention arrived.",S,Strategic developments,non-state,Boko Haram - Jamaatu Ahli is-Sunnah lid-Dawati wal-Jihad,Boko Haram / ISWAP
CAO4885,"On 3 May 2021, the military forces raided Tadu and Mbiim villages, Kumbo subdivision (Bui, Nord-Ouest). They shot and injured one civilian in Mbiim.",V,Violence against civilians,state,Military Forces of Cameroon (1982-),State forces (Cameroon)
CAO3160,"On 6 April 2020, the Southern Cameroon Restoration Forces attacked the council building in Ndu town (Donga-Mantung, Nord-Ouest), partly burning the building.",S,Strategic developments,non-state,Ambazonian Separatists (Cameroon) Restoration Forces,Ambazonia
CAO12122,"On 13 August 2023, state security forces, coded as the military forces, shot and killed 1 Ambazonian Separatist and left his body along the Kumba - Mamfe road in Kurume (Konye, Meme, Sud-Ouest). They had arrested the Separatist over a year ago.",V,Violence against civilians,state,Military Forces of Cameroon (1982-),State forces (Cameroon)
CAO14016,"On 18 May 2024, Ambazonian Separatists kidnapped a commercial motorcycle rider along the main road of Lassin (Noni, Bui, Nord-Ouest). They also seized four motorcycles, including three from other riders. The kidnapped rider was released after paying an unspecified amount of money as ransom. He was accused of violating a lockdown against the National Day celebrations.",V,Violence against civilians,non-state,Ambazonian Separatists (Cameroon),Ambazonia
CAO6455,"On 5 August 2022, the Kousseri gendarmerie clashed with unidentified armed group (bandits) in Kousseri ((Kousseri, Logone-et-Chari, Extreme-Nord). The armed bandits were specialized in motorbike theft. The gendarmeries were able to recover a motorbike belonging to a gendarme officer and to aid organization CODAS CARITAS. Unknown fatalities.",B,Battles,state,Military Forces of Cameroon (1982-) Gendarmerie,State forces (Cameroon)
CAO5921,"Around 14 March 2022 (from 13 - 15 March), 163 Boko Haram (JAS) (likely) fighters handed themselves to the military in Kolofata (Kolofata, Mayo-Sava).",S,Strategic developments,non-state,Boko Haram - Jamaatu Ahli is-Sunnah lid-Dawati wal-Jihad,Boko Haram / ISWAP
CAO13426,"Around 11 May 2024 (as reported), suspected Boko Haram (JAS) (likely) militants slit the throats, shot and killed 4 civilians in the bush in Amchide (Kolofata, Mayo-Sava, Extreme-Nord). The bodies and a head of a victim were found by the self-defence militia.",V,Violence against civilians,non-state,Boko Haram - Jamaatu Ahli is-Sunnah lid-Dawati wal-Jihad,Boko Haram / ISWAP
CAO10957,"On 22 December 2023, the military forces shot to death five Ambazonian Separatists at a vehicle checkpoint in Bwabwa (Bum, Boyo, Nord-Ouest).",B,Battles,state,Military Forces of Cameroon (1982-),State forces (Cameroon)
CAO6620,"Looting: On 27 September 2022, suspected Boko Haram (JAS) (likely) fighters looted a broken-down civilian vehicle in Goumouldi (Kolofata, Mayo-Sava, Extreme-Nord). Food and other civilian items were stolen.",S,Strategic developments,non-state,Boko Haram - Jamaatu Ahli is-Sunnah lid-Dawati wal-Jihad,Boko Haram / ISWAP
CAO14633,"Defusal: On 26 June 2024, the security forces, coded as the military forces, defused an IED planted by the Ambazonian Separatists from the ADF faction in Kendem (Upper Bayang, Manyu, Sud-Ouest) after being alerted by motorbike riders of the Separatist presence.",S,Strategic developments,state,Military Forces of Cameroon (1982-),State forces (Cameroon)
CAO4493,"On 24 March 2021, Boko Haram fighters ambushed a civilian on the road from Zanga to Djebrili village, Mayo Moskota subdivision (Mayo-Tsanaga, Extreme-Nord). They took away his motorbike.",V,Violence against civilians,non-state,Islamic State West Africa Province (ISWAP) - Lake Chad Faction and/or Boko Haram - Jamaatu Ahli is-Sunnah lid-Dawati wal-Jihad,Boko Haram / ISWAP
CAO5127,"On 24 April 2021, the military forces opened fire on a local NGO car at a checkpoint in Mamfe town (Manyu, Sud-Ouest), injuring two staff members of the NGO.",V,Violence against civilians,state,Military Forces of Cameroon (1982-),State forces (Cameroon)
CAO9051,"On 23 May 2022, military forces killed a man at the Finance Junction in Bamenda city (Bamenda 1, Mezam, Nord-Ouest). Locals in the early hours of the morning discovered the dead body dumped by the road.",V,Violence against civilians,state,Military Forces of Cameroon (1982-),State forces (Cameroon)
CAO3199,"On 20 April 2020, the military's rapid intervention battalion ambushed Boko Haram fighters on the Maloumri-Amchide road, in Kolofata subdivision (Mayo-Sava, Extreme-Nord), killing 3 and arresting 3 others.",B,Battles,state,Military Forces of Cameroon (1982-) Rapid Intervention Battalion,State forces (Cameroon)
CAO12201,"Other: On 11 August 2023, Ambazonian Separatists fired gunshots in the air and rounded up civilians in Ikiliwindi Mile 10 (Meme, Sud-Ouest). They accused the population of collaborating with state security forces and threatened to kill anyone who collaborated with them.",S,Strategic developments,non-state,Ambazonian Separatists (Cameroon),Ambazonia
CAO4717,"On 28 October 2020, the military forces engaged in fire fight with Ambazonian separatists in Bambalang town (Ngo-ketunjia, Nord-Ouest), resulting in 5 people getting killed.",B,Battles,state,Military Forces of Cameroon (1982-),State forces (Cameroon)
CAO6575,"On 22 September 2022, Cameroonian military forces clashed with suspected Boko Haram (JAS) (likely) fighters in Limina, coded to Limani (Mora, Mayo-Sava, Extreme-Nord). Unknown fatalities or injuries The assailants were about to attack civilians when the military intervened.",B,Battles,state,Military Forces of Cameroon (1982-),State forces (Cameroon)
CAO12475,"On 24 July 2023, state security forces (coded as military) shot and injured a civilian along the road in Mamfe commune, coded to Mamfe (Manyu, Sud-Ouest). They shot him after he attempted to flee when they stopped him. He later died from his injuries.",V,Violence against civilians,state,Military Forces of Cameroon (1982-),State forces (Cameroon)
CAO9505,"On 10 October 2022, the military forces ambushed and killed 2 suspected Ambazonian Separatists in Bole Bakundu near Bole (Meme, Sud-Ouest).",B,Battles,state,Military Forces of Cameroon (1982-),State forces (Cameroon)
CAO14871,"On 20 July 2024, Ambazonian Separatists from the Restoration Forces faction abducted the traditional ruler of Betock village from his private residence in Betock (Nguti, Kupe-Manenguba, Sud-Ouest). The Separatists accused him of attending a meeting with Government authorities and security forces.",V,Violence against civilians,non-state,Ambazonian Separatists (Cameroon),Ambazonia
CAO3024,"On 23 February 2020, Boko Haram attacked the village of Magam Arabe, near Amtchoukouli, in Fotokol subdivision (Logone-Et-Chari; Extreme-Nord). They took away goods, prompting a rake operation by the military forces, who retrieved 7 sheep and one gun from the assailants.",B,Battles,non-state,Islamic State West Africa Province (ISWAP) - Lake Chad Faction and/or Boko Haram - Jamaatu Ahli is-Sunnah lid-Dawati wal-Jihad,Boko Haram / ISWAP
CAO2871,"On 21 January 2020, the military forces attacked an Ambazonian separatists' camp in Kossala village, Kumba subdivision (Ndian, Sud-Ouest) [coded: Kumba], killing two Ambazonian separatists. The military also rescued 23 children hostages.",B,Battles,state,Military Forces of Cameroon (1982-),State forces (Cameroon)
CAO13818,"On 24 April 2024, security forces, coded as the military forces, beat and injured a civilian on the highway in Bokova (Lower Bokova) (Buea, Fako Sud-Ouest) for an unknown reason. There were no fatalities.",V,Violence against civilians,state,Military Forces of Cameroon (1982-),State forces (Cameroon)
CAO12171,"Defusal: On 27 August 2023, state security forces, coded as the military forces, acting on a tip-off, defused an IED planted by Ambazonian Separatists in Njinikom (Njinikom, Boyo, Nord-Ouest) targeting civilian spectators during a football tournament that was organized by the municipality's mayor. There were no fatalities.",S,Strategic developments,state,Military Forces of Cameroon (1982-),State forces (Cameroon)
CAO2836,"On 13 January 2020, the military forces attacked Kumbo town, in Jakiri subdivision (Bui, Nord-Ouest). They reportedly killed one person, and burnt over 8 houses in several areas of the town.",V,Violence against civilians,state,Military Forces of Cameroon (1982-),State forces (Cameroon)
CAO3794,"On 23 October 2020, the military forces killed one person and burnt properties during a raid in Bamessing town (Ngo-ketunjia, Nord-Ouest).",V,Violence against civilians,state,Military Forces of Cameroon (1982-),State forces (Cameroon)
CAO6033,"Around 26 April 2022, the Cameroonian military conducted a raid and clashed with Ambazonian separatists fighters in Batibo (Batibo, Momo, Nord-Ouest), killing 14 separatists fighters in 3 locations of Batibo, Ndu and Mbonge. 14 fatalities split across 3 events.",B,Battles,state,Military Forces of Cameroon (1982-),State forces (Cameroon)
CAO7171,"On 15 March 2023, police officers attacked university students in Buea (Buea, Fako, Sud-Ouest). A student was tortured to death. The police dressed in civilian clothes had arrested the two students from a hotel. The whereabouts of the other student is not known. They were suspects in the Race of Hope marathon explosion.",V,Violence against civilians,state,Police Forces of Cameroon (1982-),State forces (Cameroon)
CAO6702,"Looting: On 29 October 2022, suspected Boko Haram (JAS) looted civilians along the Limani - Mora road, coded to Limani (Mora, Mayo-Sava, Extreme-Nord). The assailants stole motorbikes, mobile phones and money.",S,Strategic developments,non-state,Boko Haram - Jamaatu Ahli is-Sunnah lid-Dawati wal-Jihad,Boko Haram / ISWAP
CAO8356,"On 29 December 2023, Boko Haram militants [JAS faction] clashed with the Gendarmerie forces in Nguetchewe (Mayo-Moskota, Mayo-Tsanaga, Extreme-Nord), Casualties unknown.",B,Battles,non-state,Boko Haram - Jamaatu Ahli is-Sunnah lid-Dawati wal-Jihad,Boko Haram / ISWAP
CAO14833,"Looting: On 7 July 2024, Ambazonian Separatists extorted an unspecified amount of money from civilians at an illegal checkpoint on the main road in Kurubei (Batibo, Momo, Nord-Ouest).",S,Strategic developments,non-state,Ambazonian Separatists (Cameroon),Ambazonia
CAO4947,"On 13 January 2021, a joint police and military forces operation was conducted in Mudeka village, Tiko subdivision (Fako, Sud-Ouest), resulting in 86 people getting arrested.",S,Strategic developments,state,Military Forces of Cameroon (1982-),State forces (Cameroon)
CAO6842,"On 14 December 2022, the Cameroonian military forces clashed with suspected Boko Haram (JAS) (likely) fighters in Ganse (Kolofata, Mayo-Sava, Extreme-Nord) leading to the death of 4 fighters. Their corpses were found by a civilian who alerted the Cameroonian military forces (Rapid Intervention).",B,Battles,state,Military Forces of Cameroon (1982-),State forces (Cameroon)
CAO16029,"On 22 October 2024, Ambazonian Separatists abducted a male civilian from his private residences in Bamenda - Nkwen (Bamenda 3, Mezam, Nord-Ouest) for an unknown reason.",V,Violence against civilians,non-state,Ambazonian Separatists (Cameroon),Ambazonia
CAO13708,"Looting: Around 25 May 2024 (as reported), Boko Haram (JAS) (likely) militants looted food items, clothing, household goods and small farm animals in Medeguer (Koza, Mayo-Tsanaga, Extreme-Nord).",S,Strategic developments,non-state,Boko Haram - Jamaatu Ahli is-Sunnah lid-Dawati wal-Jihad,Boko Haram / ISWAP
CAO5307,"Looting: On 12 July 2021, Boko Haram fighters looted Modoko village, Koza subdivision (Mayo-Tsanaga, Extreme-Nord), taking away foods and clothes. No fatality and/or casualty reported.",S,Strategic developments,non-state,Islamic State West Africa Province (ISWAP) - Lake Chad Faction and/or Boko Haram - Jamaatu Ahli is-Sunnah lid-Dawati wal-Jihad,Boko Haram / ISWAP
CAO5487,"On 16 August 2021, the military forces tortured several civilians, and looted properties during a raid in Bamenda - Chomba village, Bamenda 2 subdivision (Mezam, Nord-Ouest).",V,Violence against civilians,state,Military Forces of Cameroon (1982-),State forces (Cameroon)
CAO12429,"On 28 July 2023, Ambazonian Separatists exchanged fire with other Ambazonian Separatists in Bali (Mezam, Nord-Ouest) in a dispute over money extorted from civilians. Two Ambazonian Separatists were killed and their bodies were abandoned in the forest.",B,Battles,non-state,Ambazonian Separatists (Cameroon),Ambazonia
CAO3727,"On 1 October 2020, the military forces destroyed buildings in Akum town (Mezam, Nord-Ouest), in retaliation for writings on a vehicle that supported the separatists. No fatality and/or casualty reported.",S,Strategic developments,state,Military Forces of Cameroon (1982-),State forces (Cameroon)
CAO6300,"On 18 July 2022, the Cameroonian military forces shot sporadically and killed 3 civilians in Gunuku (Mbengwi, Momo, Nord-Ouest). They set several houses on fire. The hands of the victims were tied before they were killed. It is unknown why the attack happened. Many civilians fled to the bushes.",V,Violence against civilians,state,Military Forces of Cameroon (1982-),State forces (Cameroon)
CAO9651,"On 12 June 2022, military forces in an operation to dislodge the hideout of Ambazonian Separatists engaged them in an armed clash at Bamali (Ngo-Ketunjia, Nord-Ouest). One Separatists member and two civilians were killed.",B,Battles,state,Military Forces of Cameroon (1982-),State forces (Cameroon)
CAO3212,"On 24 April 2020, the military forces engaged in a fire fight with Boko Haram members during an attack on Sandawadjiri village, Kolofata subdivision (Mayo-Sava, Extreme-Nord). One assailant was militant.",B,Battles,state,Military Forces of Cameroon (1982-),State forces (Cameroon)
CAO12755,"On 4 April 2022, residents killed 1 Ambazonian Separatist fighter in Mbengwi (Mbengwi, Momo, Nord-Ouest) because of the atrocities committed by the separatists in their community.",R,Riots,non-state,Rioters (Cameroon),Protesters/Rioters/Civilians
